-13	-5	3	-1	0	-1	-2	1
9	4	6	1	-1	-2	-1	1
-10	-8	-4	-2	0	1	-2	1
2	0	0	0	0	-1	0	0
2	-18	-14	-5	-3	-2	-1	0
-8	-7	-2	-1	0	-1	-2	-3
2	-2	2	0	-2	0	0	-1
-5	7	-1	-1	0	-2	-2	-1
0	-1	1	1	-1	-2	-2	0
-13	-9	-9	-2	-1	-4	-1	-5
5	1	5	0	0	2	-1	0
4	-1	-5	-1	0	2	-2	0
3	-3	-1	1	-1	-2	0	0
-1	-6	0	0	1	0	0	0
-2	-1	6	-1	-2	1	-3	-2
-21	-4	-4	-1	-1	-2	1	2
8	1	2	0	1	-1	0	0
-2	-2	-1	-3	-1	1	-1	0
-3	-12	-1	0	-1	0	0	-1
17	8	-1	-1	-3	-3	-1	1
-3	9	5	0	-6	-2	2	-1
-8	-3	-10	-1	-4	-1	2	-3
4	3	-4	-2	-3	-3	4	1
-7	-7	1	-3	-16	-3	2	-5
2	-6	0	4	4	3	11	7
-3	5	6	11	13	-1	-13	-2
8	-3	-5	-5	-14	5	54	-20
54	5	8	1	-17	-13	22	6
-12	-9	-7	30	-1	5	57	7
-4	-3	-1	-23	-18	-15	-76	-3
-48	-19	13	-43	-20	81	64	-27
14	0	14	-45	8	64	40	-23
22	8	28	-34	-19	46	-53	21
17	4	-28	-9	20	22	-8	18
26	2	-3	49	6	-58	-3	28
-54	-1	20	0	-33	-71	33	-9
31	44	53	-11	22	6	127	75
3	20	20	-65	14	-26	-34	-31
48	32	14	8	16	-14	100	43
-26	-12	49	-107	-69	-7	-42	-65
0	9	38	43	82	-3	-66	-97
-39	-34	10	44	-25	-13	44	48
33	-5	-22	-30	4	-6	-58	3
-15	23	42	-31	-7	35	23	-64
-18	21	25	-4	-30	-17	-68	-116
-26	-37	-66	-48	-22	20	-90	-44
40	-3	0	1	-21	-15	0	88
-40	-4	69	67	-25	3	3	-15
-38	-18	-23	94	39	5	26	-40
-26	-19	-10	-43	-7	-2	117	8
49	45	67	-14	9	-6	37	45
-56	-12	14	-35	2	-2	-17	-88
9	28	-5	34	33	-4	81	95
19	-37	-128	119	106	1	-48	-5
5	22	46	-4	16	4	-81	-4
-51	-30	33	-7	-14	-8	25	-33
-6	20	-31	100	74	3	-7	-23
-1	0	-37	-46	-26	0	30	-106
-29	-3	9	-33	-12	3	-2	19
-4	-51	-92	-84	1	-3	-75	-7
76	-8	42	-21	-2	-8	-60	52
-46	-5	61	27	-83	8	-23	-35
3	25	106	-11	-61	3	30	-13
27	5	-19	8	11	-4	-5	-10
7	-10	-63	19	35	1	9	20
100	30	-30	-40	-3	-4	-71	127
21	-7	-23	-45	-14	1	-1	-6
-25	14	85	-55	-10	1	20	11
-72	-13	37	-3	14	6	-67	-61
-10	16	61	25	36	-3	3	50
28	3	-48	-58	-51	-7	16	15
